Prebivalstvo, staro 15 ali več let po: STATISTIČNA REGIJA, STAROST,;;;;;;;;
SPOL, ZAKONSKI STAN , LETO;;;;;;;;
Goriška;;;;;;;;
 ;2011;2012;2013;2014;2015;2016;2017;2018
;;;;;;;;
15-19 let;19;11;16;11;10;4;7;8
20-24 let;284;276;303;244;214;218;189;202
25-29 let;1435;1342;1302;1301;1289;1296;1188;1160
30-34 let;3461;3202;3022;2826;2660;2544;2374;2357
35-39 let;4643;4549;4378;4228;4101;3934;3663;3497
40-44 let;5694;5441;5254;5022;4753;4636;4586;4477
45-49 let;6281;6148;6029;5861;5717;5484;5249;5123
50-54 let;6539;6407;6295;6227;6135;6028;5872;5766
55-59 let;6955;6859;6736;6447;6367;6185;6102;5954
60-64 let;5898;6187;6352;6580;6530;6444;6350;6207
65-69 let;3412;3447;3604;3945;4550;5301;5562;5754
70-74 let;3545;3717;3747;3622;3318;2910;2991;3163
75-79 let;2336;2348;2389;2489;2616;2761;2918;2961
80-84 let;1238;1322;1400;1403;1449;1505;1482;1534
85-89 let;398;437;451;467;516;578;618;673
90-94 let;70;77;95;102;106;124;133;132
95-99 let;13;5;5;1;8;14;18;17
100 + let;1;2;2;2;1;1;1;1
