Prebivalstvo, staro 15 ali več let po: STATISTIČNA REGIJA, STAROST,;;;;;;;;
SPOL, ZAKONSKI STAN , LETO;;;;;;;;
Jugovzhodna Slovenija;;;;;;;;
 ;2011;2012;2013;2014;2015;2016;2017;2018
;;;;;;;;
15-19 let;6;8;5;5;3;7;4;3
20-24 let;271;277;282;235;234;220;206;224
25-29 let;1852;1733;1721;1658;1619;1593;1489;1415
30-34 let;4134;3992;3903;3717;3512;3310;3180;3249
35-39 let;5502;5401;5183;5111;4940;4814;4595;4619
40-44 let;6847;6471;6270;5954;5767;5626;5466;5342
45-49 let;8074;7940;7686;7432;7120;6669;6294;6114
50-54 let;8003;8084;7945;8007;7851;7731;7605;7405
55-59 let;7360;7495;7628;7651;7710;7628;7679;7570
60-64 let;5620;5904;6139;6434;6600;6840;6991;7100
65-69 let;3769;3825;3995;4190;4576;5021;5255;5503
70-74 let;3552;3528;3561;3453;3337;3176;3231;3344
75-79 let;2464;2542;2526;2587;2660;2673;2679;2661
80-84 let;1194;1258;1321;1428;1477;1523;1606;1640
85-89 let;298;311;358;396;446;496;531;588
90-94 let;28;48;59;63;60;67;67;86
95-99 let;5;3;5;3;1;2;6;5
100 + let;1;2;1;1;1;0;0;0
