Prebivalstvo, staro 15 ali več let po: STATISTIČNA REGIJA, STAROST,;;;;;;;;
SPOL, ZAKONSKI STAN , LETO;;;;;;;;
Koroška;;;;;;;;
 ;2011;2012;2013;2014;2015;2016;2017;2018
15-19 let;2;4;3;5;5;3;3;3
20-24 let;96;90;91;106;84;89;74;95
25-29 let;494;484;535;524;485;493;443;457
30-34 let;1364;1275;1229;1190;1138;1136;1080;1100
35-39 let;2077;2011;1934;1841;1798;1723;1665;1673
40-44 let;2734;2561;2398;2300;2208;2182;2166;2144
45-49 let;3431;3355;3253;3133;2964;2731;2514;2396
50-54 let;3849;3740;3591;3436;3373;3351;3264;3181
55-59 let;3936;4035;4036;3933;3841;3679;3541;3412
60-64 let;3021;3107;3229;3398;3555;3625;3709;3729
65-69 let;2412;2385;2456;2426;2471;2650;2739;2866
70-74 let;1869;1938;1984;2075;2102;2018;1997;2086
75-79 let;1186;1221;1244;1287;1342;1424;1471;1494
80-84 let;560;578;616;654;706;721;785;785
85-89 let;162;155;170;200;205;245;245;262
90-94 let;23;31;27;26;32;36;38;48
95-99 let;2;1;3;1;2;2;4;3
100 + let;1;2;1;1;1;1;0;0

