Prebivalstvo, staro 15 ali več let po: STATISTIČNA REGIJA, STAROST,;;;;;;;;
SPOL, ZAKONSKI STAN , LETO;;;;;;;;
Obalno-kraška;;;;;;;;
 ;2011;2012;2013;2014;2015;2016;2017;2018
;;;;;;;;
15-19 let;18;14;10;10;5;9;14;12
20-24 let;320;318;309;268;267;235;251;252
25-29 let;1289;1233;1265;1246;1182;1092;1048;1019
30-34 let;2840;2753;2695;2567;2412;2327;2251;2262
35-39 let;4072;3958;3810;3724;3563;3381;3328;3279
40-44 let;4636;4493;4403;4344;4306;4285;4086;4042
45-49 let;5507;5357;5267;5080;4882;4600;4480;4407
50-54 let;6111;5922;5712;5625;5446;5382;5238;5162
55-59 let;6344;6419;6299;6178;6004;5859;5719;5557
60-64 let;5407;5615;5878;5938;6058;5984;6019;5947
65-69 let;3167;3256;3460;3865;4281;4916;5125;5386
70-74 let;3219;3282;3300;3205;3067;2779;2882;3061
75-79 let;2151;2192;2241;2278;2358;2469;2558;2591
80-84 let;1112;1133;1202;1290;1393;1394;1403;1406
85-89 let;406;424;411;438;458;503;538;566
90-94 let;72;74;91;101;99;112;118;143
95-99 let;10;3;2;1;9;12;10;9
100 + let;4;4;2;2;3;2;3;2


