Prebivalstvo, staro 15 ali več let po: STATISTIČNA REGIJA, STAROST,;;;;;;;;
SPOL, ZAKONSKI STAN , LETO;;;;;;;;
Osrednjeslovenska;;;;;;;;
 ;2011;2012;2013;2014;2015;2016;2017;2018
;;;;;;;;
Starost - SKUPAJ;210034;209442;210623;210093;203604;202853;201817;202108
15-19 let;52;46;39;47;36;45;33;30
20-24 let;1426;1394;1432;1354;1252;1111;1053;1052
25-29 let;7052;6906;7075;6934;6537;6285;5922;5673
30-34 let;15517;15218;15162;14822;13811;13284;12725;12764
35-39 let;20158;20059;19824;19662;18973;18797;18358;18376
40-44 let;23552;22598;22130;21698;20798;20623;20704;20534
45-49 let;25721;25620;25459;24829;23556;22645;21786;21314
50-54 let;24941;24493;24656;24731;23960;24056;24065;23938
55-59 let;25001;24950;24812;24275;23164;22982;22652;22644
60-64 let;21257;21803;22320;22752;22423;22353;22462;22216
65-69 let;15363;15533;15961;16525;16946;18526;18969;19398
70-74 let;13699;13808;14078;14033;13391;12702;12919;13350
75-79 let;9397;9673;9826;10122;10174;10412;10636;10844
80-84 let;4931;5252;5572;5790;5864;6063;6342;6550
85-89 let;1622;1694;1852;2053;2218;2418;2573;2751
90-94 let;293;346;397;432;461;496;547;609
95-99 let;46;40;26;31;37;52;67;63
100 + let;6;9;2;3;3;3;4;2
