Prebivalstvo, staro 15 ali veè let po: STATISTIÈNA REGIJA, STAROST,;;;;;;;;
SPOL, ZAKONSKI STAN , LETO;;;;;;;;
Podravska;;;;;;;;
 ;2011;2012;2013;2014;2015;2016;2017;2018
Starost - SKUPAJ;121050;120053;119014;117641;116793;115579;114441;114269
15-19 let;29;18;20;17;27;12;15;14
20-24 let;403;433;435;392;364;407;401;401
25-29 let;2386;2307;2262;2227;2214;2107;2099;2190
30-34 let;6140;5874;5741;5549;5364;5242;5041;5196
35-39 let;9465;9114;8730;8402;8281;8106;7861;8010
40-44 let;12510;11843;11203;10752;10360;10025;9829;9632
45-49 let;15001;14517;14019;13547;13040;12302;11648;11153
50-54 let;16013;15634;15448;15161;14778;14556;14072;13750
55-59 let;16540;16646;16308;15864;15558;15193;14838;14632
60-64 let;13563;14303;14775;14935;15232;15165;15250;15034
65-69 let;11396;11217;10972;10892;11103;11966;12570;13026
70-74 let;8358;8434;8963;9576;9822;9522;9377;9175
75-79 let;5661;5903;6061;6031;6111;6189;6362;6771
80-84 let;2680;2801;2952;3096;3234;3425;3613;3734
85-89 let;775;853;950;1007;1107;1140;1197;1242
90-94 let;108;137;158;177;181;203;237;279
95-99 let;18;15;14;14;16;18;29;29
100 + let;4;4;3;2;1;1;2;1
;;;;;;;;
Vir: Statistièni urad Republike Slovenije.;;;;;;;;
;;;;;;;;
Povezane vsebine: ;;;;;;;;
- (seznam HREF= http://www.stat.si/StatWeb/File/DocSysFile/7808 ;;;;;;;;
target=_blank) Metodološka pojasnila;;;;;;;;
;;;;;;;;
Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih ;;;;;;;;
teritorialnih enot v Evropski uniji (The Classification  of ;;;;;;;;
Territorial Units for Statistics) – NUTS ((seznam ;;;;;;;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-;;;;;;;;
ije/klasifikacije TARGET=_blank) opis in pojasnila), raven NUTS 3. ;;;;;;;;
Podatki o spremembah posameznih statistiènih regij so dostopni tudi ;;;;;;;;
na (seznam HREF=http://www.stat.si/dokument/8484 TARGET=_blank) ;;;;;;;;
povezavi.;;;;;;;;
;;;;;;;;
Stanje na 1.1.;;;;;;;;
;;;;;;;;
Podatke o prebivalstvu za stanje 1. 1. 2011 smo v Sloveniji ;;;;;;;;
pripravili tudi v skladu z Uredbo (ES) št. 763/2008 Evropskega ;;;;;;;;
parlamenta in Sveta z dne 9. julija 2008 o popisih prebivalstva in ;;;;;;;;
stanovanj (Uradni list Evropske unije L 218/14, 13. avgust 2008).;;;;;;;;
