Prebivalstvo, staro 15 ali več let po: STATISTIČNA REGIJA, STAROST,;;;;;;;;
SPOL, ZAKONSKI STAN , LETO;;;;;;;;
Pomurska;;;;;;;;
 ;2011;2012;2013;2014;2015;2016;2017;2018
15-19 let;6;7;10;6;4;3;7;6
20-24 let;141;131;128;134;121;123;117;107
25-29 let;973;833;780;791;771;732;725;705
30-34 let;2732;2550;2348;2145;1990;1939;1854;1848
35-39 let;4494;4244;4010;3695;3474;3204;3031;2861
40-44 let;5379;5197;4940;4736;4575;4466;4288;4103
45-49 let;5959;5817;5597;5487;5346;5168;4999;4791
50-54 let;6551;6306;6155;5966;5831;5678;5525;5334
55-59 let;6850;6816;6678;6506;6389;6172;5942;5806
60-64 let;5537;5860;6095;6280;6339;6351;6318;6205
65-69 let;4275;4339;4397;4354;4577;4959;5245;5505
70-74 let;2808;2899;3099;3447;3605;3556;3680;3714
75-79 let;1877;1954;1905;1939;1959;2070;2129;2316
80-84 let;969;965;1042;1054;1075;1095;1127;1128
85-89 let;245;299;340;364;352;385;381;419
90-94 let;45;46;60;66;74;79;87;96
95-99 let;8;4;3;5;6;8;8;10
100 + let;1;2;4;3;3;2;2;2
