Prebivalstvo, staro 15 ali več let po: STATISTIČNA REGIJA, STAROST,;;;;;;;;
SPOL, ZAKONSKI STAN , LETO;;;;;;;;
Posavska;;;;;;;;
 ;2011;2012;2013;2014;2015;2016;2017;2018
Starost - SKUPAJ;29073;28956;28809;28474;30573;30361;30018;29879
15-19 let;6;4;2;2;2;0;6;2
20-24 let;143;139;158;112;128;120;102;98
25-29 let;743;754;774;733;785;710;659;644
30-34 let;1763;1730;1648;1554;1543;1529;1524;1553
35-39 let;2574;2423;2355;2221;2332;2238;2176;2114
40-44 let;3153;3033;2930;2853;2978;2862;2726;2647
45-49 let;3796;3674;3583;3452;3567;3386;3240;3110
50-54 let;3992;3928;3827;3750;4045;3989;3861;3740
55-59 let;3796;3857;3893;3893;4167;4159;4065;3966
60-64 let;3119;3241;3355;3462;3793;3858;3892;3945
65-69 let;2116;2241;2295;2362;2746;2983;3132;3249
70-74 let;1771;1766;1767;1795;2003;1937;2003;2080
75-79 let;1269;1274;1291;1286;1383;1429;1416;1440
80-84 let;598;632;660;706;774;802;833;878
85-89 let;202;225;227;240;268;292;306;324
90-94 let;29;33;43;51;57;63;72;85
95-99 let;2;1;1;2;2;4;5;4
100 + let;1;1;0;0;0;0;0;0
