Prebivalstvo, staro 15 ali veè let po: STAROST, LETO, STATISTIÈNA;;;;;;;;
REGIJA , ZAKONSKI STAN;;;;;;;;
;;;;;;;;
 ;2011;2012;2013;2014;2015;2016;2017;2018
15-19 let;7;11;4;5;7;7;7;1
20-24 let;167;163;139;125;110;97;108;95
25-29 let;769;727;737;692;648;569;539;539
30-34 let;1562;1535;1501;1422;1374;1355;1261;1262
35-39 let;2099;2042;1994;1930;1870;1829;1803;1785
40-44 let;2463;2314;2263;2244;2170;2148;2088;2033
45-49 let;2810;2772;2700;2631;2567;2425;2279;2218
50-54 let;2863;2870;2793;2772;2718;2680;2668;2636
55-59 let;2922;2912;2865;2781;2769;2723;2716;2637
60-64 let;2373;2491;2570;2672;2697;2705;2697;2647
65-69 let;1509;1478;1545;1656;1899;2152;2244;2336
70-74 let;1455;1541;1591;1586;1482;1297;1280;1338
75-79 let;991;1010;1002;1019;1046;1091;1186;1242
80-84 let;482;528;568;582;615;649;645;637
85-89 let;135;146;172;207;234;245;268;293
90-94 let;18;19;28;32;34;38;53;47
95-99 let;3;3;0;1;3;5;5;5
100 + let;1;1;0;0;0;0;0;0
