"Prebivalstvo, staro 15 ali veè let po: STATISTIÈNA REGIJA, STAROST,"
"ZAKONSKI STAN, LETO , SPOL"

" ";" ";"Poroèeni";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016";" ";" ";"2017";" ";" ";"2018";" ";" "
" ";" ";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske"
"SLOVENIJA"
" ";"Starost - SKUPAJ";819158;413280;405878;814288;411054;403234;811446;410900;400546;805887;408711;397176;800568;406180;394388;794425;402866;391559;787757;399238;388519;786902;399630;387272
" ";"15-19 let";198;32;166;163;26;137;137;20;117;161;20;141;135;16;119;120;10;110;122;21;101;101;18;83
" ";"20-24 let";4316;1205;3111;4299;1212;3087;4326;1152;3174;3978;997;2981;3745;901;2844;3560;856;2704;3351;808;2543;3392;875;2517
" ";"25-29 let";22614;8503;14111;21713;8145;13568;21849;8327;13522;21389;8147;13242;20761;7868;12893;19938;7475;12463;19040;6936;12104;18632;6905;11727
" ";"30-34 let";51918;22754;29164;50069;22111;27958;48915;21912;27003;46985;21100;25885;44910;20067;24843;43372;19241;24131;41544;18229;23315;42141;18822;23319
" ";"35-39 let";72287;33616;38671;70432;32672;37760;68261;31959;36302;66517;31430;35087;65083;30836;34247;63200;30089;33111;61278;29283;31995;61055;29462;31593
" ";"40-44 let";88892;42318;46574;84650;40293;44357;81518;39121;42397;78755;37789;40966;76318;36761;39557;74879;36015;38864;73551;35285;38266;72366;35049;37317
" ";"45-49 let";102569;50010;52559;100568;48950;51618;98223;47586;50637;95194;46181;49013;91859;44504;47355;87314;42241;45073;83159;40235;42924;80624;39245;41379
" ";"50-54 let";105927;53196;52731;104028;51889;52139;102685;51402;51283;101565;50606;50959;100020;49588;50432;98814;48730;50084;97066;47730;49336;95182;46508;48674
" ";"55-59 let";105632;54950;50682;106332;55155;51177;105571;54345;51226;103659;53114;50545;102374;52270;50104;100737;51099;49638;98956;49898;49058;97569;49129;48440
" ";"60-64 let";86839;45668;41171;90355;47589;42766;93198;49221;43977;95760;50706;45054;97380;51388;45992;97695;51378;46317;98544;51666;46878;97907;50784;47123
" ";"65-69 let";63820;34250;29570;64136;34194;29942;65266;34837;30429;66797;35672;31125;70630;37725;32905;77624;41529;36095;80828;43212;37616;83600;44697;38903
" ";"70-74 let";53305;30072;23233;54038;30381;23657;55743;31098;24645;57095;31627;25468;56695;31266;25429;53753;29524;24229;54325;29691;24634;55511;30304;25207
" ";"75-79 let";36028;21058;14970;37206;21738;15468;37710;22157;15553;38383;22591;15792;39461;23306;16155;40561;23849;16712;41498;24302;17196;42938;24949;17989
" ";"80-84 let";18232;11321;6911;19200;12049;7151;20274;12637;7637;21168;13065;8103;21989;13550;8439;22734;14046;8688;23653;14639;9014;24254;15106;9148
" ";"85-89 let";5532;3613;1919;5927;3856;2071;6471;4211;2260;7036;4653;2383;7631;5014;2617;8373;5539;2834;8895;5927;2968;9489;6268;3221
" ";"90-94 let";890;615;275;1038;707;331;1197;847;350;1343;946;397;1451;1029;422;1591;1130;461;1738;1229;509;1941;1369;572
" ";"95-99 let";137;89;48;106;72;34;84;59;25;83;58;25;113;84;29;147;106;41;192;133;59;188;130;58
" ";"100 + let";22;10;12;28;15;13;18;9;9;19;9;10;13;7;6;13;9;4;17;14;3;12;10;2
"Pomurska"
" ";"Starost - SKUPAJ";48850;24136;24714;48269;23837;24432;47591;23570;24021;46978;23286;23692;46491;23109;23382;45990;22873;23117;45465;22578;22887;44956;22343;22613
" ";"15-19 let";6;1;5;7;1;6;10;2;8;6;0;6;4;0;4;3;0;3;7;3;4;6;1;5
" ";"20-24 let";141;33;108;131;37;94;128;40;88;134;35;99;121;36;85;123;39;84;117;36;81;107;27;80
" ";"25-29 let";973;322;651;833;264;569;780;265;515;791;269;522;771;261;510;732;244;488;725;243;482;705;249;456
" ";"30-34 let";2732;1112;1620;2550;1041;1509;2348;948;1400;2145;871;1274;1990;840;1150;1939;819;1120;1854;780;1074;1848;795;1053
" ";"35-39 let";4494;1945;2549;4244;1840;2404;4010;1741;2269;3695;1628;2067;3474;1552;1922;3204;1444;1760;3031;1361;1670;2861;1283;1578
