Prebivalstvo, staro 15 ali veè let po: STATISTIÈNA REGIJA, STAROST,;;;;;;;;
SPOL, ZAKONSKI STAN , LETO;;;;;;;;
Savinjska;;;;;;;;
 ;2011;2012;2013;2014;2015;2016;2017;2018
Starost - SKUPAJ;101391;100563;99899;99521;96445;95726;95172;95580
15-19 let;19;20;15;15;12;16;9;11
20-24 let;438;426;400;424;409;381;335;378
25-29 let;2456;2272;2323;2291;2198;2144;2109;2078
30-34 let;5753;5570;5428;5259;4990;4784;4574;4787
35-39 let;8431;8012;7800;7578;7267;7092;7025;7037
40-44 let;11095;10410;9772;9298;8683;8541;8311;8414
45-49 let;13445;13049;12650;12179;11240;10620;10029;9606
50-54 let;14166;14005;13684;13477;12865;12624;12384;12072
55-59 let;13405;13688;13855;13801;13364;13132;12973;12767
60-64 let;10608;11097;11454;11964;11934;12129;12409;12615
65-69 let;8431;8433;8414;8351;8468;9269;9766;10088
70-74 let;6304;6361;6676;7146;7084;6816;6822;6880
75-79 let;4147;4342;4417;4481;4541;4637;4693;4975
80-84 let;2032;2168;2254;2400;2456;2486;2578;2693
85-89 let;568;605;644;715;758;884;970;991
90-94 let;81;93;104;129;161;157;164;170
95-99 let;11;12;9;12;15;12;17;15
100 + let;1;0;0;1;0;2;4;3
;;;;;;;;
Vir: Statistièni urad Republike Slovenije.;;;;;;;;
;;;;;;;;
Povezane vsebine: ;;;;;;;;
- (seznam HREF= http://www.stat.si/StatWeb/File/DocSysFile/7808 ;;;;;;;;
target=_blank) Metodološka pojasnila;;;;;;;;
;;;;;;;;
Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih ;;;;;;;;
teritorialnih enot v Evropski uniji (The Classification  of ;;;;;;;;
Territorial Units for Statistics) – NUTS ((seznam ;;;;;;;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-;;;;;;;;
ije/klasifikacije TARGET=_blank) opis in pojasnila), raven NUTS 3. ;;;;;;;;
Podatki o spremembah posameznih statistiènih regij so dostopni tudi ;;;;;;;;
na (seznam HREF=http://www.stat.si/dokument/8484 TARGET=_blank) ;;;;;;;;
povezavi.;;;;;;;;
;;;;;;;;
Stanje na 1.1.;;;;;;;;
;;;;;;;;
Podatke o prebivalstvu za stanje 1. 1. 2011 smo v Sloveniji ;;;;;;;;
pripravili tudi v skladu z Uredbo (ES) št. 763/2008 Evropskega ;;;;;;;;
parlamenta in Sveta z dne 9. julija 2008 o popisih prebivalstva in ;;;;;;;;
stanovanj (Uradni list Evropske unije L 218/14, 13. avgust 2008).;;;;;;;;
