Prebivalstvo, staro 15 ali veè let po: STATISTIÈNA REGIJA, STAROST,;;;;;;;;
SPOL, ZAKONSKI STAN , LETO;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
 ;2011;2012;2013;2014;2015;2016;2017;2018
15-19 let;198;163;137;161;135;120;122;101
20-24 let;4316;4299;4326;3978;3745;3560;3351;3392
25-29 let;22614;21713;21849;21389;20761;19938;19040;18632
30-34 let;51918;50069;48915;46985;44910;43372;41544;42141
35-39 let;72287;70432;68261;66517;65083;63200;61278;61055
40-44 let;88892;84650;81518;78755;76318;74879;73551;72366
45-49 let;102569;100568;98223;95194;91859;87314;83159;80624
50-54 let;105927;104028;102685;101565;100020;98814;97066;95182
55-59 let;105632;106332;105571;103659;102374;100737;98956;97569
60-64 let;86839;90355;93198;95760;97380;97695;98544;97907
65-69 let;63820;64136;65266;66797;70630;77624;80828;83600
70-74 let;53305;54038;55743;57095;56695;53753;54325;55511
75-79 let;36028;37206;37710;38383;39461;40561;41498;42938
80-84 let;18232;19200;20274;21168;21989;22734;23653;24254
85-89 let;5532;5927;6471;7036;7631;8373;8895;9489
90-94 let;890;1038;1197;1343;1451;1591;1738;1941
95-99 let;137;106;84;83;113;147;192;188
100 + let;22;28;18;19;13;13;17;12
