Prebivalstvo, staro 15 ali več let po: STATISTIČNA REGIJA, STAROST,;;;;;;;;
SPOL, ZAKONSKI STAN , LETO;;;;;;;;
Zasavska;;;;;;;;
 ;2011;2012;2013;2014;2015;2016;2017;2018
15-19 let;11;6;6;11;9;4;2;2
20-24 let;141;143;132;115;130;119;115;110
25-29 let;544;537;503;503;662;640;596;576
30-34 let;1069;1011;972;911;1266;1231;1175;1174
35-39 let;1322;1262;1223;1200;1696;1634;1559;1547
40-44 let;1854;1665;1561;1453;1862;1848;1821;1748
45-49 let;2469;2404;2245;2085;2696;2440;2186;2109
50-54 let;2745;2635;2587;2494;3136;3081;3008;2853
55-59 let;2499;2561;2548;2579;3405;3334;3216;3184
60-64 let;1965;2035;2097;2181;2958;2976;3084;3086
65-69 let;1543;1525;1521;1472;1967;2219;2318;2402
70-74 let;1091;1112;1229;1322;1711;1604;1606;1593
75-79 let;798;803;756;746;1004;1059;1089;1191
80-84 let;466;458;461;454;592;613;650;622
85-89 let;131;152;167;152;194;215;216;252
90-94 let;24;28;28;33;36;41;47;48
95-99 let;2;2;3;2;5;4;4;2
100 + let;0;0;0;0;0;1;1;1


