"Prebivalstvo, staro 15 ali veè let po: STATISTIÈNA REGIJA, STAROST,"
"ZAKONSKI STAN, LETO , SPOL"

" ";" ";"Razvezani";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016";" ";" ";"2017";" ";" ";"2018";" ";" "
" ";" ";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske"
"SLOVENIJA"
" ";"Starost - SKUPAJ";113215;47459;65756;115027;48108;66919;116592;48695;67897;118133;49309;68824;119987;50110;69877;121628;50879;70749;123452;51681;71771;124360;51906;72454
" ";"15-19 let";2;0;2;2;1;1;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;1
" ";"20-24 let";133;24;109;128;38;90;110;30;80;94;15;79;89;20;69;92;18;74;82;23;59;93;28;65
" ";"25-29 let";861;276;585;836;252;584;800;239;561;791;250;541;797;229;568;774;240;534;757;253;504;682;225;457
" ";"30-34 let";3482;1222;2260;3191;1147;2044;3043;1079;1964;2835;994;1841;2612;935;1677;2489;947;1542;2410;895;1515;2321;846;1475
" ";"35-39 let";7502;3034;4468;7259;2871;4388;7030;2780;4250;6696;2595;4101;6412;2449;3963;6089;2299;3790;5838;2253;3585;5548;2175;3373
" ";"40-44 let";12109;5200;6909;11485;4863;6622;11135;4758;6377;10814;4582;6232;10664;4496;6168;10579;4394;6185;10338;4260;6078;10043;4093;5950
" ";"45-49 let";16141;7224;8917;16234;7240;8994;16127;7081;9046;15890;6927;8963;15616;6783;8833;14914;6494;8420;14376;6217;8159;13871;6029;7842
" ";"50-54 let";17870;8090;9780;17687;7929;9758;17677;7866;9811;17891;7959;9932;18081;8070;10011;18328;8189;10139;18447;8283;10164;18296;8121;10175
" ";"55-59 let";18492;8566;9926;19069;8773;10296;19055;8724;10331;18867;8586;10281;18822;8533;10289;18680;8443;10237;18665;8360;10305;18697;8317;10380
" ";"60-64 let";13637;6296;7341;14866;6874;7992;15925;7304;8621;16987;7809;9178;17771;8103;9668;18244;8237;10007;18868;8507;10361;18903;8459;10444
" ";"65-69 let";8106;3409;4697;8665;3645;5020;9293;3998;5295;9959;4305;5654;11143;4896;6247;13043;5788;7255;14177;6298;7879;15189;6723;8466
" ";"70-74 let";6090;2212;3878;6365;2397;3968;6793;2585;4208;7282;2821;4461;7450;2928;4522;7380;2940;4440;7907;3166;4741;8474;3441;5033
" ";"75-79 let";4231;1145;3086;4424;1265;3159;4503;1342;3161;4708;1484;3224;5016;1632;3384;5252;1753;3499;5488;1915;3573;5896;2089;3807
