Prebivalstvo, staro 15 ali veè let po: STATISTIÈNA REGIJA, STAROST,;;;;;;;;
SPOL, ZAKONSKI STAN , LETO;;;;;;;;
;;;;;;;;
;; ; ; ; ; ; ; 
;; ; ; ; ; ; ; 
 ;2011;2012;2013;2014;2015;2016;2017;2018
;;;;;;;;
15-19 let;0;0;0;0;0;0;0;0
20-24 let;3;4;3;1;1;1;1;3
25-29 let;35;32;24;22;17;17;19;14
30-34 let;121;112;97;95;97;87;85;72
35-39 let;451;386;356;307;262;253;237;203
40-44 let;1122;1032;933;853;766;707;608;568
45-49 let;2689;2495;2337;2132;1912;1705;1556;1412
50-54 let;5122;4820;4492;4258;4110;3865;3608;3377
55-59 let;8872;8696;8442;8035;7538;7112;6735;6350
60-64 let;12078;12218;12220;12285;12149;11941;11722;11374
65-69 let;15582;15207;14758;14489;14673;15807;15962;15875
70-74 let;22472;21869;21600;21323;20467;19059;18701;18291
75-79 let;27720;27272;26666;26276;25972;25593;25114;25026
80-84 let;26229;26891;27148;27227;27643;27203;27229;26909
85-89 let;16738;17435;18157;18850;19352;20119;20633;21087
90-94 let;4524;5503;6407;7250;7780;8430;8957;9374
95-99 let;1230;1107;958;940;1137;1350;1576;1863
100 + let;167;167;168;182;179;163;161;133
